book_id,title,author,publication_date,genre,isbn,publisher,language,page_count,available_copies,rating,price
1,See No Evil,Selma Trahair,7/22/1935,Romance,146012843-5,Brainlounge,Burmese,3636,4,2.6,150.15
2,"King Is Alive, The",Alvy Borrows,10/4/2003,Science Fiction,790555306-X,Twitterworks,Finnish,1838,13,4.9,75.79
3,Bring It On Again,Leela Bubeer,1/17/1912,Mystery,076346056-7,Yakijo,Hiri Motu,1235,2,3.4,646.77
4,"Marriage Circle, The",Josefina Hesser,10/13/1995,Mystery,969348859-8,Vimbo,Armenian,622,20,3.3,580.64
5,"Jerk Theory, The",Kathe Lyster,12/28/1969,Science Fiction,103085267-7,Yabox,Irish Gaelic,9240,15,2.8,683.42
6,For Keeps,Dominick Mardling,3/4/2005,Non-Fiction,892728267-1,Blogpad,Yiddish,3765,20,3.1,187.23
7,Roller Boogie,Fawne Laffin,10/28/1947,Science Fiction,988505589-4,Jabbercube,Georgian,5050,3,2.4,624.37
8,Lovely to Look At,Jard Woollam,4/12/1913,Science Fiction,537539232-1,Divavu,Icelandic,7905,9,1.3,922.25
9,Cop and ½,Katuscha Massingham,12/6/1941,Mystery,274749350-4,Dynazzy,German,2542,19,2.7,7.84
10,Midnight Movies: From the Margin to the Mainstream,Enrique Cummungs,7/17/1956,Non-Fiction,832295221-X,Fadeo,Luxembourgish,7729,18,2.0,911.27
11,Atrocious,Marcelline Spellicy,12/31/1966,Mystery,191233434-8,Topicware,Tajik,9774,18,4.7,325.59
12,State Affairs (Une affaire d'état),Kim Sainthill,6/25/1945,Mystery,147326049-3,Agimba,Haitian Creole,8268,2,4.8,396.83
13,Graveyard Shift (Stephen King's Graveyard Shift),Verina Attersoll,6/25/1969,Science Fiction,697780176-X,Tagtune,Kannada,9020,2,1.8,505.92
14,Snow Day,Donni Sieghard,5/27/1906,Non-Fiction,802905464-5,Jatri,Kashmiri,3941,3,2.2,987.69
15,"Blue Lagoon, The",Merry Goggins,6/2/1957,Romance,944131772-1,Yoveo,English,8126,4,2.9,127.42
16,Open Season,Dorey Sallarie,3/2/1935,Non-Fiction,879931398-7,Jetpulse,Finnish,7560,20,3.4,266.51
17,12th & Delaware,Byron Baytrop,6/28/1971,Science Fiction,929429156-1,Twitterworks,Filipino,9544,0,4.5,788.5
18,Leontine,Jose Casaroli,1/2/1931,Romance,726178639-X,Gigashots,Guaraní,9716,0,4.0,910.38
19,Norman,Gualterio Peye,12/13/2013,Non-Fiction,011020174-4,Edgeblab,Dhivehi,6859,18,1.9,346.64
20,Mrs. Parkington,Monika Broadbridge,6/11/1911,Non-Fiction,836125572-9,Quatz,Nepali,3234,15,4.6,506.5
21,Love and Basketball,Emlyn Huffer,2/17/1975,Science Fiction,256807981-9,Zoomcast,Telugu,4132,1,4.3,319.37
22,Bionicle: The Legend Reborn,Mathias Roundtree,9/15/1947,Non-Fiction,448024845-5,Wikizz,Fijian,4138,18,4.4,289.86
23,"Clown and the Kid, The",Debera O'Ruane,5/2/1998,Science Fiction,389593375-9,Skiba,Thai,1844,20,1.8,566.74
24,Harakiri (Seppuku),Winn De Francesco,11/12/1949,Non-Fiction,265186423-4,Blognation,Tsonga,2238,8,3.6,934.97
25,Eva,Ripley O'Cahey,11/15/2005,Non-Fiction,753687144-9,Gigashots,Malayalam,6606,19,3.1,169.08
26,Don't Look Now,Woodie Cutler,3/31/1917,Fiction,257896325-8,Topicstorm,Fijian,3852,1,4.3,787.68
27,Here Comes the Boom,Sela Simpkin,1/21/1959,Romance,538072084-6,Skibox,Tamil,1848,4,1.9,707.62
28,Fear of Flying,Carmel Hollows,11/7/1953,Science Fiction,326809186-5,Agivu,Gujarati,4879,19,2.9,345.17
29,Orders to Kill,Sharleen Dranfield,9/12/1935,Fiction,227488712-8,JumpXS,Swahili,1722,17,1.0,676.34
30,Melbourne,Deeyn Eisenberg,5/26/1967,Non-Fiction,292358906-8,Skimia,Swedish,9234,18,2.7,875.21
31,Our Town,Barrett Pafford,1/9/1938,Non-Fiction,709565373-9,Wordtune,Catalan,3514,3,3.5,814.28
32,"Three Musketeers, The",Julianna Hibling,5/26/1944,Fiction,100633516-1,Avaveo,Malayalam,8767,4,2.3,161.06
33,Whoregasm,Augusto Van der Brugge,8/3/1915,Fiction,432086225-2,Bubbletube,Malay,6950,4,3.9,95.26
34,Stealth,Abbot Genty,12/21/1930,Mystery,703275612-3,Kazio,Kurdish,8391,0,4.3,425.56
35,Magicians,Nananne Sodo,11/23/1950,Fiction,217275559-1,Brainverse,Swedish,7344,20,2.2,506.46
36,"Darwin Awards, The",Frasco Jessopp,7/29/2009,Mystery,702449221-X,JumpXS,Tok Pisin,5906,6,3.4,803.37
37,Love Steaks,Tadd Venners,9/27/1998,Fiction,542032464-4,Topicblab,Czech,2727,1,3.7,950.02
